reference_month,ticker,value,unit,seasonal_adjustment,report_month,report_release_date,source_id,source_url,table_index_zero_based,observation_role
2025-09,NAPMEI@USECON,45.3,diffusion_index,SA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,4,retrospective_table
2025-09,NAPMII@USECON,47.7,diffusion_index,SA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,6,retrospective_table
2025-09,NAPMNI@USECON,48.9,diffusion_index,SA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,2,retrospective_table
2025-09,NAPMOI@USECON,51.0,diffusion_index,SA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,3,retrospective_table
2025-09,NAPMPI@USECON,61.9,diffusion_index,NSA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,8,retrospective_table
2025-09,NAPMVDI@USECON,52.6,diffusion_index,NSA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,5,retrospective_table
2025-09,NMFC@SURVEYS,50.3,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-08,2026-09-03,services_2026-08,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/services/august/,2,retrospective_table
2025-10,NAPMC@USECON,48.8,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-08,2026-09-01,manufacturing_2026-08,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/pmi/august/,2,retrospective_table
2025-10,NAPMEI@USECON,46.0,diffusion_index,SA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,4,retrospective_table
2025-10,NAPMII@USECON,45.8,diffusion_index,SA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,6,retrospective_table
